date,close,mayer,price_to_wma200,fng,mvrv_z,nupl,sopr,puell
2016-06-15,698.78,1.5931046778156788,,,,,,
2016-06-16,769.76,1.747011112185366,,,,,,
2016-06-17,752.26,1.7000517974997988,,,,,,
2016-06-18,758.99,1.7076141357665615,,,,,,
2016-06-19,768.76,1.721678477507333,,,,,,
2016-06-20,703.12,1.5686781958594411,,,,,,
2016-06-21,667.66,1.4845370543926317,,,,,,
2016-06-22,604.5,1.3408737239656723,,,,,,
2016-06-23,631.1,1.3961055049605877,,,,,,
2016-06-24,669.98,1.4776163660381134,,,,,,
2016-06-25,673.71,1.4816800687408416,,,,,,
2016-06-26,638.56,1.4009833167011905,,,,,,
2016-06-27,657.87,1.4395244166859407,,,,,,
2016-06-28,648.43,1.4158401248956018,,,,,,
2016-06-29,639.42,1.3930863118953847,,,,,,
2016-06-30,673.49,1.4634929151006137,,,,,,
2016-07-01,678.19,1.4699658805527822,,,,,,
2016-07-02,704.95,1.5239926423766808,,,,,,
2016-07-03,663.55,1.431249909003307,,,,,,
2016-07-04,681.98,1.4674184286693774,,,,,,
2016-07-05,669.87,1.4381631393164587,,,,,,
2016-07-06,678.79,1.4539191548638413,,,,,,
2016-07-07,641.97,1.3721180700791826,,,,,,
2016-07-08,667.33,1.4228162734891119,,,,,,
2016-07-09,657.61,1.398756686719958,,,,,,
2016-07-10,652.44,1.3846672991092748,,,,,,
2016-07-11,650.97,1.3786913328948567,,,,,,
2016-07-12,666.56,1.408566334279865,,,,,,
2016-07-13,655.34,1.3814127535000118,,,,,,
2016-07-14,661.65,1.3912396583519955,,,,,,
2016-07-15,667.48,1.3998845453882907,,,,,,
2016-07-16,666.32,1.3940539306726387,,,,,,
2016-07-17,680.0,1.4189335608356808,,,,,,
2016-07-18,675.5,1.405947522254245,,,,,,
2016-07-19,673.98,1.3993134025605705,,,,,,
2016-07-20,666.92,1.381335565828328,,,,,,
2016-07-21,667.28,1.378720557323115,,,,,,
2016-07-22,654.67,1.3495872561955378,,,,,,
2016-07-23,657.5,1.3522967500555572,,,,,,
2016-07-24,661.0,1.3562855422218256,,,,,,
2016-07-25,657.79,1.3469529589287774,,,,,,
2016-07-26,654.06,1.336583344266154,,,,,,
2016-07-27,657.35,1.3404717763244358,,,,,,
2016-07-28,657.4,1.3377447300610614,,,,,,
2016-07-29,657.0,1.3341099735076627,,,,,,
2016-07-30,655.87,1.3288221415113424,,,,,,
2016-07-31,626.97,1.2677753592732852,,,,,,
2016-08-01,605.2,1.2215914882605503,,,,,,
2016-08-02,537.47,1.0829124010968751,,,,,,
2016-08-03,573.36,1.1530796957539613,,,,,,
2016-08-04,587.5,1.1790382058550535,,,,,,
2016-08-05,583.0,1.1676860218469447,,,,,,
2016-08-06,591.71,1.182567959784975,,,,,,
2016-08-07,595.14,1.1873277096499555,,,,,,
2016-08-08,591.48,1.1778862549567737,,,,,,
2016-08-09,586.45,1.1655071879071053,,,,,,
2016-08-10,594.94,1.1799479064918952,,,,,,
2016-08-11,587.91,1.1638716931976332,,,,,,
2016-08-12,587.74,1.1612782636030923,,,,,,
2016-08-13,586.45,1.1565025288940756,,,,,,
2016-08-14,574.99,1.1318918030414955,,,,,,
2016-08-15,567.79,1.1156518912234001,,,,,,
2016-08-16,579.02,1.1354828385737454,,,,,,
2016-08-17,574.45,1.124360164787416,,,,,,
2016-08-18,574.09,1.1213932787504872,,,,,,
2016-08-19,573.67,1.1183627732012464,,,,,,
2016-08-20,581.87,1.1320430217982531,,,,,,
2016-08-21,581.29,1.128582578408036,,,,,,
2016-08-22,585.2,1.1340029286032571,,,,,,
2016-08-23,582.39,1.126397988540483,,,,,,
2016-08-24,578.47,1.1166239570437484,,,,,,
2016-08-25,575.58,1.1089252511014982,,,,,,
2016-08-26,579.29,1.1138396241298398,,,,,,
2016-08-27,570.84,1.095505221756614,,,,,,
2016-08-28,575.41,1.102192374623965,,,,,,
2016-08-29,573.21,1.0959317398626172,,,,,,
2016-08-30,574.95,1.0972351277836652,,,,,,
2016-08-31,572.89,1.091409576547982,,,,,,
2016-09-01,573.02,1.0899293472730367,,,,,,
2016-09-02,576.21,1.0941524434381236,,,,,,
2016-09-03,600.91,1.138962374969022,,,,,,
2016-09-04,611.92,1.1576724223309773,,,,,,
2016-09-05,605.69,1.1438897065884848,,,,,,
2016-09-06,612.99,1.1555782443859757,,,,,,
2016-09-07,615.21,1.1578234289629377,,,,,,
2016-09-08,627.97,1.1797350166025578,,,,,,
2016-09-09,622.07,1.1666289399068042,,,,,,
2016-09-10,623.74,1.1675299975787987,,,,,,
2016-09-11,607.94,1.135998940127975,,,,,,
2016-09-12,606.74,1.1318193472759734,,,,,,
2016-09-13,608.63,1.1334655023797227,,,,,,
2016-09-14,608.43,1.1312463697409119,,,,,,
2016-09-15,605.44,1.1238930389598867,,,,,,
2016-09-16,607.93,1.1267218774534042,,,,,,
2016-09-17,607.92,1.1248807895037771,,,,,,
2016-09-18,611.4,1.1293243550138428,,,,,,
2016-09-19,608.6,1.122185351793399,,,,,,
2016-09-20,605.6,1.1146164760413593,,,,,,
2016-09-21,597.0,1.0967601484759717,,,,,,
2016-09-22,596.21,1.093370776039077,,,,,,
2016-09-23,602.96,1.1038187522871892,,,,,,
2016-09-24,603.68,1.1031929878679472,,,,,,
2016-09-25,601.67,1.0976255935924804,,,,,,
2016-09-26,607.08,1.1055679133990013,,,,,,
2016-09-27,605.71,1.1012047147945967,,,,,,
2016-09-28,605.04,1.0980456352078032,,,,,,
2016-09-29,605.99,1.0978423780310507,,,,,,
2016-09-30,608.99,1.1013422399444581,,,,,,
2016-10-01,615.65,1.1113743701527428,,,,,,
2016-10-02,612.4,1.1035518728846638,,,,,,
2016-10-03,612.99,1.1026818631777937,,,,,,
2016-10-04,610.34,1.0959366542365105,,,,,,
2016-10-05,613.16,1.0989977085693448,,,,,,
2016-10-06,611.88,1.094735365598816,,,,,,
2016-10-07,617.98,1.1036155293373895,,,,,,
2016-10-08,619.5,1.1043298464794338,,,,,,
2016-10-09,617.42,1.0986645892245919,,,,,,
2016-10-10,618.72,1.098965900653994,,,,,,
2016-10-11,642.12,1.1382471663695577,,,,,,
2016-10-12,635.79,1.1248447851663934,,,,,,
2016-10-13,635.66,1.122525932342763,,,,,,
2016-10-14,638.03,1.124576012476214,,,,,,
2016-10-15,638.16,1.122611080507008,,,,,,
2016-10-16,641.92,1.1269542232781566,,,,,,
2016-10-17,639.56,1.1206122051167486,,,,,,
2016-10-18,635.11,1.1106993588264933,,,,,,
2016-10-19,629.79,1.0993783648049498,,,,,,
2016-10-20,628.05,1.094355275239369,,,,,,
2016-10-21,630.83,1.0971789423666682,,,,,,
2016-10-22,652.75,1.1330334938760647,,,,,,
2016-10-23,651.04,1.1278181161155132,,,,,,
2016-10-24,649.98,1.1237626668158147,,,,,,
2016-10-25,654.3,1.128939934373788,,,,,,
2016-10-26,674.0,1.160382509592309,,,,,,
2016-10-27,691.21,1.1872747697455435,,,,,,
2016-10-28,689.95,1.1824091721841905,,,,,,
2016-10-29,714.28,1.2211074060109468,,,,,,
2016-10-30,697.41,1.1895031857215272,,,,,,
2016-10-31,696.9,1.1858968632185638,,,,,,
2016-11-01,730.7,1.2402501309713985,,,,,,
2016-11-02,744.6,1.2605140175049947,,,,,,
2016-11-03,690.0,1.165527940238484,,,,,,
2016-11-04,706.32,1.190327025632595,,,,,,
2016-11-05,706.99,1.188752327095462,,,,,,
2016-11-06,717.02,1.202845615129329,,,,,,
2016-11-07,706.42,1.1825423589361403,,,,,,
2016-11-08,711.15,1.1878481208022247,,,,,,
2016-11-09,720.97,1.2015885294686017,,,,,,
2016-11-10,712.91,1.185700673739302,,,,,,
2016-11-11,716.9,1.1898558687703,,,,,,
2016-11-12,704.53,1.1670593832341376,,,,,,
2016-11-13,704.01,1.163704537961726,,,,,,
2016-11-14,708.32,1.1683506490282536,,,,,,
2016-11-15,712.29,1.1724480872104246,,,,,,
2016-11-16,739.85,1.2149544911399954,,,,,,
2016-11-17,730.71,1.1972542340389452,,,,,,
2016-11-18,748.54,1.2234402215902043,,,,,,
2016-11-19,750.77,1.2240983530914855,,,,,,
2016-11-20,731.99,1.190728232169801,,,,,,
2016-11-21,736.4,1.1951178365251154,,,,,,
2016-11-22,746.66,1.2089794077124616,,,,,,
2016-11-23,741.52,1.197945018310778,,,,,,
2016-11-24,737.99,1.1895977775175386,,,,,,
2016-11-25,739.74,1.1897760705817355,,,,,,
2016-11-26,735.7,1.1805921687921044,,,,,,
2016-11-27,729.24,1.1676504900756755,,,,,,
2016-11-28,729.77,1.165948091128868,,,,,,
2016-11-29,732.37,1.1675428911038324,,,,,,
2016-11-30,742.69,1.1813227605086771,,,,,,
2016-12-01,754.0,1.1965287336695252,,,,,,
2016-12-02,769.25,1.217699212543956,,,,,,
2016-12-03,766.98,1.2111075512077363,,,,,,
2016-12-04,767.99,1.2097183548403738,,,,,,
2016-12-05,752.0,1.1816126923430161,,,,,,
2016-12-06,759.8,1.1909294375091988,,,,,,
2016-12-07,764.34,1.195066632852778,,,,,,
2016-12-08,767.89,1.1975706108383657,,,,,,
2016-12-09,773.22,1.2028108832591162,,,,,,
2016-12-10,775.87,1.203853722160485,,,,,,
2016-12-11,771.05,1.1934162365900287,,,,,,
2016-12-12,778.94,1.2026130672662185,,,,,,
2016-12-13,776.18,1.195537858031381,,,,,,
2016-12-14,777.66,1.1954751620227335,,,,,,
2016-12-15,776.16,1.1908722806509875,,,,,,
2016-12-16,780.98,1.1959882983100911,,,,,,
2016-12-17,788.57,1.2052377412716477,,,,,,
2016-12-18,790.72,1.2061652139127264,,,,,,
2016-12-19,790.81,1.203979812430904,,,,,,
2016-12-20,798.99,1.214328372635991,,,,,,
2016-12-21,834.5,1.2658139525006535,,,,,,
2016-12-22,856.02,1.2956967450239631,,,,,,
2016-12-23,917.26,1.3849274130804268,,,,,,
2016-12-24,891.5,1.3428727761729329,,,,,,
2016-12-25,896.12,1.3466582551870205,,,,,,
2016-12-26,902.09,1.3523311405617715,,,,,,
2016-12-27,925.2,1.3833992685866991,,,,,,
2016-12-28,982.17,1.4645029473239237,,,,,,
2016-12-29,970.72,1.4442765416426846,,,,,,
2016-12-30,960.81,1.4268274781123929,,,,,,
2016-12-31,973.37,1.4423904409273345,,,,,,
2017-01-01,992.95,1.4682050326629228,,,,,,
2017-01-02,1011.45,1.492892102254659,,,,,,
2017-01-03,1020.67,1.5035224883166816,,,,,,
2017-01-04,1130.3,1.6604744714353366,,,,,,
2017-01-05,1007.0,1.4767555811865447,,,,,,
2017-01-06,895.71,1.3116975698792963,,,,,,
2017-01-07,909.0,1.3288115732032646,,,,,,
2017-01-08,923.33,1.3466215707240303,,,,,,
2017-01-09,902.66,1.3138737872747424,,,,,,
2017-01-10,907.0,1.3179175246631842,,,,,,
2017-01-11,795.77,1.1552701387777382,,,,,,
2017-01-12,812.25,1.177710368650532,,,,,,
2017-01-13,831.42,1.2039907989743588,,,,,,
2017-01-14,828.0,1.1974812976705662,,,,,,
2017-01-15,833.31,1.2034734660970225,,,,,,
2017-01-16,834.41,1.203663426330269,,,,,,
2017-01-17,906.0,1.3047903953601308,,,,,,
2017-01-18,887.99,1.277169645132692,,,,,,
2017-01-19,902.92,1.2964113861997775,,,,,,
2017-01-20,894.31,1.2820948418444813,,,,,,
2017-01-21,925.06,1.3237570137578087,,,,,,
